"state","evotes","poll_landon_rep","poll_landon_1932_rep","poll_landon_1932_dem","poll_landon_1932_soc","poll_landon_1932_oth","poll_landon_1932_nov","poll_landon_1932_nas","poll_roosevelt_dem","poll_roosevelt_1932_rep","poll_roosevelt_1932_dem","poll_roosevelt_1932_soc","poll_roosevelt_1932_oth","poll_roosevelt_1932_nov","poll_roosevelt_1932_nas","poll_lemke_soc","poll_lemke_1932_rep","poll_lemke_1932_dem","poll_lemke_1932_soc","poll_lemke_1932_oth","poll_lemke_1932_nov","poll_lemke_1932_nas","poll_oth_thomas","poll_oth_browder","poll_oth_colvin","poll_oth_aiken","poll_oth_others","dem_1932","rep_1932","soc_1932","oth_1932","dem_roosevelt","rep_landon","uni_lemke","soc_thomas","oth_others"
"Oregon",5,11747,8593,2014,72,6,521,541,10951,1966,7666,298,7,567,447,655,196,313,46,7,30,63,164,48,74,13,12,213871,136019,15450,3468,266733,122706,21831,2143,608
"Pennsylvania",36,119086,86433,20097,543,115,6461,5437,81114,14502,56082,1340,55,5733,3402,7507,1121,5089,187,11,467,632,1051,608,367,63,32,1295948,1453540,91223,18466,2353987,1690200,67468,14599,12172
"Rhode Island",4,10401,8165,1269,32,5,511,419,3489,600,2470,90,0,208,121,794,148,545,12,3,31,55,68,43,15,7,1,146604,115266,3138,1162,165238,125031,19569,0,1340
"South Carolina",8,1247,216,658,2,0,300,71,7105,101,5943,6,6,701,348,20,2,11,1,0,2,4,12,13,22,0,7,102347,1978,82,0,113791,1646,0,0,0
"South Dakota",4,8483,5712,2096,42,14,248,371,4507,859,3314,46,5,125,158,770,122,539,20,10,20,59,43,26,24,2,3,183515,99212,1551,4160,160137,125977,10338,0,0
"Tennessee",11,9883,5785,2354,29,31,1178,506,19829,1419,15510,128,33,1938,801,100,14,63,2,0,12,9,81,19,64,2,0,259473,126752,1796,2235,328083,146520,296,686,953
"Texas",23,15341,6302,6774,43,3,1559,660,37501,1860,31262,149,5,2668,1557,558,58,417,13,1,28,41,187,49,87,9,14,760348,97959,4450,669,734485,103874,3281,1075,767
"Utah",4,4067,2906,851,21,1,155,133,5318,954,3935,69,8,189,163,119,30,65,8,0,5,11,43,14,12,0,5,116750,84795,4087,946,150246,64555,1121,432,323
"Vermont",3,7241,5829,822,20,2,239,329,2458,498,1756,37,0,84,83,174,48,90,2,0,18,16,41,6,13,1,2,56266,78984,1533,197,62124,81023,0,0,542
"Virginia",11,10223,5696,2848,57,18,1194,410,16783,1121,13346,141,14,1517,644,74,17,37,4,0,8,8,88,33,60,3,4,203979,89637,2382,1944,234980,98336,233,313,728
"Washington",8,21370,14841,4800,67,30,806,826,15300,2281,11423,278,53,709,556,683,170,374,28,27,31,53,190,136,91,23,14,353260,208645,17080,35829,459579,206892,17463,3496,4908
"West Virginia",8,13660,10060,2589,30,15,424,542,10235,1278,8229,52,11,305,360,199,51,119,4,1,11,13,63,7,41,1,4,405124,330731,5133,2786,502582,325358,0,832,1173
"Wisconsin",12,33796,22587,8495,157,12,1142,1403,20781,3144,15578,582,4,799,674,3642,412,2717,118,0,110,285,686,160,97,10,6,707410,347741,53379,6278,802984,380828,60297,10626,3825
"Wyoming",3,2526,1830,510,15,1,83,87,1533,242,1144,27,1,63,56,78,22,46,1,1,4,4,11,2,2,0,0,54370,39583,2829,180,62624,38739,1653,200,166
NA,0,7158,4763,1416,35,5,263,676,6545,924,4724,97,9,231,560,693,125,406,23,1,35,103,67,38,52,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
